user_id,sample,keydown,TAP,keyup,TAR,PressureSize
122,3,6,11994458163984,6,11994602912984,0.20784315
122,3,0,11995134552984,0,11995211107984,0.21568629
122,3,E,11997244193012,E,11997353561985,0.20392159
122,4,5,11998102959985,5,11998195577985,0.18431373
122,4,5,11998398405985,5,11998510226985,0.19607845
122,4,6,11998652010985,6,11998747435985,0.19215688
122,4,0,11998920038985,0,11999015837985,0.18823531
122,4,E,11999265972985,E,11999361460985,0.17254902
122,5,5,11999923858985,5,12000000616985,0.18431373
122,5,5,12000111055985,5,12000190555985,0.19215688
122,5,6,12000347789985,6,12000427096985,0.18823531
122,5,0,12000599376985,0,12000678730985,0.1764706
122,5,E,12001037020985,E,12001132849985,0.1764706
122,6,5,12001741254985,5,12001818005985,0.18039216
122,6,5,12001913369985,5,12002008767985,0.20000002
122,6,6,12002165934985,6,12002245206985,0.18823531
122,6,0,12002448827985,0,12002544373985,0.19215688
122,6,E,12002918286985,E,12003030241985,0.18039216
122,7,5,12003592755985,5,12003669074985,0.18823531
122,7,5,12003780203985,5,12003875030985,0.20000002
122,7,6,12004016881985,6,12004096261985,0.18823531
122,7,0,12004268939985,0,12004364664985,0.19215688
122,7,E,12004661205985,E,12004740701985,0.18039216
122,8,5,12005474487985,5,12005582364985,0.20000002
122,8,5,12005662859985,5,12005757987985,0.19607845
122,8,6,12005930790985,6,12006010293985,0.18431373
122,8,0,12006182399985,0,12006261576985,0.18823531
122,8,E,12006557947985,E,12006653887985,0.18039216
122,9,5,12007339986986,5,12007416385986,0.20000002
122,9,5,12007527042986,5,12007638945984,0.19607845
122,9,6,12007873541984,6,12007985290984,0.20000002
122,9,0,12008204254984,0,12008300072984,0.20000002
122,9,E,12008534712984,E,12008630265984,0.18823531
123,0,5,28462648929031,5,28462741810032,0.21960786
123,0,5,28462852563031,5,28462931710031,0.20392159
123,0,6,28463197512031,6,28463276801031,0.18039216
123,0,0,28463557659031,0,28463637063031,0.19215688
123,0,E,28465143941031,E,28465220687031,0.20000002
123,1,5,28466696083032,5,28466756516032,0.18431373
123,1,5,28466835857032,5,28466899269032,0.20000002
123,1,6,28467071676032,6,28467135015032,0.18431373
123,1,0,28467400345032,0,28467463543032,0.20784315
123,1,E,28467852608032,E,28467916142032,0.14901961
123,2,5,28468320491032,5,28468383760032,0.18823531
123,2,5,28468478802032,5,28468542012032,0.19215688
123,2,6,28468698930032,6,28468761926032,0.18431373
123,2,0,28468965425032,0,28469044854032,0.21176472
123,2,E,28469310224032,E,28469389581032,0.18431373
123,3,5,28469670911032,5,28469733819032,0.20392159
123,3,5,28469828950032,5,28469892338032,0.20000002
123,3,6,28470018149032,6,28470081906032,0.19215688
123,3,0,28470285076032,0,28470364587032,0.20392159
123,3,E,28470645277032,E,28470708591032,0.17254902
123,4,5,28471035761032,5,28471115219032,0.19607845
123,4,5,28471210415032,5,28471273682032,0.20000002
123,4,6,28471461488032,6,28471541051032,0.20392159
123,4,0,28471759895032,0,28471823190032,0.19607845
123,4,E,28472072922032,E,28472152190032,0.16078432
123,5,5,28472448548032,5,28472511879032,0.19607845
123,5,5,28472591793032,5,28472655496032,0.20392159
123,5,6,28472781003032,6,28472860521032,0.20784315
123,5,0,28473032895032,0,28473112519032,0.20392159
123,5,E,28473331490032,E,28473410856032,0.20000002
123,6,5,28473676412032,5,28473739649032,0.19607845
123,6,5,28473818977032,5,28473882106032,0.20392159
123,6,6,28474008220032,6,28474087711032,0.20392159
123,6,0,28474291209031,0,28474370469031,0.18431373
123,6,E,28474604877031,E,28474668099031,0.17254902
123,7,5,28474918209031,5,28474997609031,0.21568629
123,7,5,28475092668031,5,28475139557031,0.18431373
123,7,6,28475281093031,6,28475344031031,0.18823531
123,7,0,28475547829031,0,28475627171031,0.19607845
123,7,E,28475846054031,E,28475909392031,0.18039216
123,8,5,28476174831031,5,28476237581031,0.19607845
123,8,5,28476301727031,5,28476364936031,0.22352943
123,8,6,28476475495031,6,28476555059031,0.21176472
123,8,0,28476727892031,0,28476791094031,0.20784315
123,8,E,28477025305031,E,28477088582031,0.17254902
123,9,5,28480277727032,5,28480337921032,0.18431373
123,9,5,28480401993032,5,28480481429032,0.21568629
123,9,6,28480653739032,6,28480717330032,0.18823531
123,9,0,28480920845032,0,28481000038031,0.20000002
123,9,E,28481624194031,E,28481668375031,0.10980393
124,0,5,52419146029905,5,52419190167905,0.10980393
124,0,5,52419300753905,5,52419363860905,0.1764706
124,0,6,52419505248905,6,52419568476905,0.18431373
124,0,0,52419725535905,0,52419805232905,0.19607845
124,0,E,52419962215905,E,52420025403905,0.20000002
124,1,5,52420321685905,5,52420384983905,0.18823531
124,1,5,52420495347905,5,52420558647905,0.15686275
124,1,6,52420684531905,6,52420747699905,0.20000002
124,1,0,52420904653905,0,52420984587905,0.20392159
124,1,E,52421126316905,E,52421205457905,0.20784315
124,2,5,52421502116905,5,52421565170905,0.18823531
124,2,5,52421660266905,5,52421723235905,0.19215688
124,2,6,52421849584905,6,52421928864905,0.20000002
124,2,0,52422070769905,0,52422133493905,0.19607845
124,2,E,52422274886905,E,52422354481905,0.18431373
124,3,5,52422635680905,5,52422714704905,0.19215688
124,3,5,52422809732905,5,52422872742905,0.17254902
124,3,6,52422998979905,6,52423062399905,0.19607845
124,3,0,52423219547905,0,52423282112905,0.16470589
124,3,E,52423423672905,E,52423486711905,0.14509805
124,4,5,52423767727905,5,52423830779905,0.19215688
124,4,5,52423941314905,5,52424004425905,0.16470589
124,4,6,52424176919905,6,52424223739905,0.14509805
124,4,0,52424380888905,0,52424427533905,0.15294118
124,4,E,52424599977905,E,52424662960905,0.15294118
124,5,5,52425098820905,5,52425145577905,0.18039216
124,5,5,52425271837905,5,52425334907905,0.18039216
124,5,6,52425507283905,6,52425570431905,0.20000002
124,5,0,52425727385905,0,52425774352905,0.12941177
124,5,E,52425931260905,E,52425994191905,0.14509805
124,6,5,52426337058905,5,52426400186905,0.19215688
124,6,5,52426495142905,5,52426558338905,0.18823531
124,6,6,52426684310905,6,52426747422905,0.19215688
124,6,0,52426888957905,0,52426952054905,0.20392159
124,6,E,52427093617905,E,52427173080905,0.18823531
124,7,5,52427500528905,5,52427563402905,0.19607845
124,7,5,52427658330905,5,52427705137905,0.14117648
124,7,6,52427862329905,6,52427925254905,0.14901961
124,7,0,52428067245905,0,52428129921905,0.19607845
124,7,E,52428302421905,E,52428365435905,0.15686275
124,8,5,52428677444905,5,52428740477905,0.20000002
124,8,5,52428835437905,5,52428898436905,0.18823531
124,8,6,52429040185905,6,52429119486905,0.21568629
124,8,0,52429291963905,0,52429355010905,0.17254902
124,8,E,52429542871905,E,52429589775905,0.098039225
124,9,5,52429901758905,5,52429980969905,0.19215688
124,9,5,52430060452905,5,52430123527905,0.20392159
124,9,6,52430280675905,6,52430343715905,0.20392159
124,9,0,52430655640905,0,52430702331905,0.12941177
124,9,E,52430890272905,E,52430937073905,0.07450981
125,0,5,83424764436890,5,83424824256882,0.14117648
125,0,5,83424966140883,5,83425045941883,0.16078432
125,0,6,83425512631883,6,83425625262883,0.14509805
125,0,0,83426013783883,0,83426076809883,0.12941177
125,0,E,83426608952883,E,83426701203883,0.16470589
125,1,5,83427449680883,5,83427525648884,0.14901961
125,1,5,83427666972883,5,83427746152884,0.14901961
125,1,6,83428073618884,6,83428169086883,0.14509805
125,1,0,83428543085883,0,83428638428883,0.15686275
125,1,E,83428950691884,E,83429079214883,0.15686275
125,2,5,83429595317883,5,83429671451883,0.14509805
125,2,5,83429797550882,5,83429860671883,0.13333334
125,2,6,83430064033882,6,83430159878883,0.14901961
125,2,0,83430502415883,0,83430598257882,0.14509805
125,2,E,83430894616882,E,83430990691882,0.14509805
125,3,5,83431536018883,5,83431614178883,0.13333334
125,3,5,83431709155883,5,83431788980882,0.14901961
125,3,6,83431976421883,6,83432072433883,0.13725491
125,3,0,83432414965882,0,83432494941883,0.15686275
125,3,E,83432790704883,E,83432886454883,0.15294118
125,4,5,83433384290882,5,83433463509883,0.14509805
125,4,5,83433589270883,5,83433668751883,0.14117648
125,4,6,83433842028883,6,83433953756882,0.14509805
125,4,0,83434326954881,0,83434407992883,0.14901961
125,4,E,83434640999883,E,83434769282883,0.15294118
125,5,5,83435316270883,5,83435408644883,0.15294118
125,5,5,83435488535883,5,83435584456883,0.14901961
125,5,6,83435740890884,6,83435820555882,0.12941177
125,5,0,83436194214883,0,83436273612884,0.16078432
125,5,E,83436462159882,E,83436590177882,0.14117648
125,6,5,83436963735883,5,83437043219883,0.14509805
125,6,5,83437138153883,5,83437234204882,0.14901961
125,6,6,83437406189882,6,83437518244883,0.12941177
125,6,0,83437815435883,0,83437911287883,0.15294118
125,6,E,83438114586883,E,83438242947882,0.14901961
125,7,5,83438663020884,5,83438742342883,0.14901961
125,7,5,83438852797882,5,83438932300882,0.15294118
125,7,6,83439197730883,6,83439277383883,0.14509805
125,7,0,83439681756882,0,83439761256883,0.15294118
125,7,E,83439949210883,E,83440061669884,0.15294118
125,8,5,83440498034883,5,83440577442883,0.14901961
125,8,5,83440702674883,5,83440781868883,0.15294118
125,8,6,83440954149883,6,83441050478883,0.14509805
125,8,0,83441439523883,0,83441534920884,0.15294118
